ENSG00000143954	ENSPTRG00000012112
ENSG00000188536	ENSPTRG00000049822
ENSG00000119231	ENSPTRG00000015788
ENSG00000134532	ENSPTRG00000004770
ENSG00000135677	ENSPTRG00000005176
ENSG00000166454	ENSPTRG00000008384
ENSG00000196233	ENSPTRG00000002801
ENSG00000141564	ENSPTRG00000009747
ENSG00000125746	ENSPTRG00000048889
ENSG00000130055	ENSPTRG00000021998
ENSG00000151655	ENSPTRG00000002275
ENSG00000103121	ENSPTRG00000008382
ENSG00000074706	ENSPTRG00000018724
ENSG00000181458	ENSPTRG00000015163
ENSG00000114503	ENSPTRG00000048726
ENSG00000158715	ENSPTRG00000001903
ENSG00000149201	ENSPTRG00000004145
ENSG00000169683	ENSPTRG00000009784
ENSG00000087191	ENSPTRG00000009525
ENSG00000163053	ENSPTRG00000013007
ENSG00000185551	ENSPTRG00000044693
ENSG00000069275	ENSPTRG00000048501
ENSG00000086506	ENSPTRG00000042679
ENSG00000270170	ENSPTRG00000043568
ENSG00000198677	ENSPTRG00000017083
ENSG00000119227	ENSPTRG00000045912
ENSG00000180921	ENSPTRG00000030909
ENSG00000169689	ENSPTRG00000009783
ENSG00000114209	ENSPTRG00000015598
ENSG00000166455	ENSPTRG00000008385
ENSG00000172016	ENSPTRG00000012116
ENSG00000110958	ENSPTRG00000005108
ENSG00000083097	ENSPTRG00000018378
ENSG00000123700	ENSPTRG00000009590
ENSG00000068784	ENSPTRG00000011889
ENSG00000136450	ENSPTRG00000049077
ENSG00000170310	ENSPTRG00000008753
ENSG00000163975	ENSPTRG00000015792
ENSG00000126460	ENSPTRG00000011305
ENSG00000223510	ENSPTRG00000046385
ENSG00000128050	ENSPTRG00000016081
ENSG00000117643	ENSPTRG00000000363
ENSG00000155115	ENSPTRG00000018502
ENSG00000143379	ENSPTRG00000001267
ENSG00000181322	ENSPTRG00000015444
ENSG00000099365	ENSPTRG00000047467
ENSG00000111186	ENSPTRG00000004519
ENSG00000144847	ENSPTRG00000015248
ENSG00000108592	ENSPTRG00000009524
ENSG00000101082	ENSPTRG00000013461
ENSG00000171823	ENSPTRG00000004518
ENSG00000079263	ENSPTRG00000013010
ENSG00000147183	ENSPTRG00000022076
ENSG00000013392	ENSPTRG00000049322
ENSG00000249693	ENSPTRG00000049168
ENSG00000118707	ENSPTRG00000013459
ENSG00000116132	ENSPTRG00000001668
ENSG00000167363	ENSPTRG00000009810
ENSG00000197587	ENSPTRG00000024252
ENSG00000092978	ENSPTRG00000001986
ENSG00000116478	ENSPTRG00000044722
ENSG00000253719	ENSPTRG00000039132
ENSG00000147255	ENSPTRG00000022273
ENSG00000167077	ENSPTRG00000014436
ENSG00000114544	ENSPTRG00000015327
ENSG00000130876	ENSPTRG00000010807
ENSG00000101084	ENSPTRG00000013460
ENSG00000142546	ENSPTRG00000011304
ENSG00000114098	ENSPTRG00000015442
ENSG00000116752	ENSPTRG00000001136
ENSG00000167550	ENSPTRG00000004897
ENSG00000188389	ENSPTRG00000051175
ENSG00000117280	ENSPTRG00000001905
ENSG00000130881	ENSPTRG00000010806
ENSG00000157600	ENSPTRG00000051441
ENSG00000188011	ENSPTRG00000050003
ENSG00000067445	ENSPTRG00000051190
ENSG00000114738	ENSPTRG00000014968
ENSG00000143418	ENSPTRG00000001268
ENSG00000125430	ENSPTRG00000008792
ENSG00000106153	ENSPTRG00000019209
ENSG00000186416	ENSPTRG00000022226
ENSG00000204228	ENSPTRG00000018036
ENSG00000110921	ENSPTRG00000005428
ENSG00000130723	ENSPTRG00000021487
ENSG00000133019	ENSPTRG00000002155
ENSG00000163319	ENSPTRG00000016233
ENSG00000163050	ENSPTRG00000033741
ENSG00000121966	ENSPTRG00000012501
ENSG00000178175	ENSPTRG00000016969
ENSG00000139921	ENSPTRG00000006339
ENSG00000282881	ENSPTRG00000052625
ENSG00000077721	ENSPTRG00000022225
ENSG00000114737	ENSPTRG00000014967
ENSG00000082458	ENSPTRG00000021999
ENSG00000197651	ENSPTRG00000023775
ENSG00000079277	ENSPTRG00000046874
ENSG00000083782	ENSPTRG00000005287
ENSG00000196503	ENSPTRG00000023347
ENSG00000163322	ENSPTRG00000023645
ENSG00000169856	ENSPTRG00000007090
ENSG00000153779	ENSPTRG00000022077
ENSG00000182378	ENSPTRG00000042945
ENSG00000139330	ENSPTRG00000005288
ENSG00000100147	ENSPTRG00000014438
ENSG00000264364	ENSPTRG00000009444
ENSG00000164896	ENSPTRG00000019874
ENSG00000162814	ENSPTRG00000001988
ENSG00000167751	ENSPTRG00000011359
ENSG00000163536	ENSPTRG00000015599
ENSG00000175216	ENSPTRG00000003553
ENSG00000137691	ENSPTRG00000004210
ENSG00000006831	ENSPTRG00000004520
ENSG00000141194	ENSPTRG00000030829
ENSG00000135899	ENSPTRG00000052837
ENSG00000178605	ENSPTRG00000050696
ENSG00000140798	ENSPTRG00000008091
ENSG00000174740	ENSPTRG00000022078
ENSG00000139428	ENSPTRG00000005427
ENSG00000175984	ENSPTRG00000001137
ENSG00000139549	ENSPTRG00000045260
ENSG00000166006	ENSPTRG00000005232
ENSG00000164733	ENSPTRG00000019998
ENSG00000108061	ENSPTRG00000002941
ENSG00000064313	ENSPTRG00000020535
ENSG00000102048	ENSPTRG00000021682
ENSG00000143862	ENSPTRG00000001846
ENSG00000147874	ENSPTRG00000020800
ENSG00000115657	ENSPTRG00000012945
ENSG00000136895	ENSPTRG00000021385
ENSG00000127423	ENSPTRG00000040706
ENSG00000170075	ENSPTRG00000001845
ENSG00000173905	ENSPTRG00000015600
ENSG00000142961	ENSPTRG00000000697
ENSG00000121053	ENSPTRG00000009446
ENSG00000117640	ENSPTRG00000000365
ENSG00000154640	ENSPTRG00000013797
ENSG00000137693	ENSPTRG00000004211
ENSG00000162456	ENSPTRG00000048945
ENSG00000155363	ENSPTRG00000001111
ENSG00000130300	ENSPTRG00000010671
ENSG00000144820	ENSPTRG00000015164
ENSG00000259417	ENSPTRG00000050540
ENSG00000163424	ENSPTRG00000042893
ENSG00000094963	ENSPTRG00000001672
ENSG00000175130	ENSPTRG00000000482
ENSG00000114638	ENSPTRG00000015250
ENSG00000164897	ENSPTRG00000028352
ENSG00000018625	ENSPTRG00000048477
ENSG00000139354	ENSPTRG00000005346
ENSG00000100299	ENSPTRG00000014550
ENSG00000132554	ENSPTRG00000020468
ENSG00000117501	ENSPTRG00000001669
ENSG00000125398	ENSPTRG00000009592
ENSG00000188687	ENSPTRG00000012082
ENSG00000126226	ENSPTRG00000006053
ENSG00000172840	ENSPTRG00000047529
ENSG00000007933	ENSPTRG00000001670
ENSG00000147606	ENSPTRG00000033891
ENSG00000175536	ENSPTRG00000004066
ENSG00000146006	ENSPTRG00000017292
ENSG00000172775	ENSPTRG00000008148
ENSG00000151553	ENSPTRG00000002963
ENSG00000175931	ENSPTRG00000009681
ENSG00000077514	ENSPTRG00000004067
ENSG00000044115	ENSPTRG00000017291
ENSG00000010932	ENSPTRG00000001674
ENSG00000144229	ENSPTRG00000012502
ENSG00000103479	ENSPTRG00000008115
ENSG00000175634	ENSPTRG00000003957
ENSG00000184939	ENSPTRG00000042517
ENSG00000164109	ENSPTRG00000016401
ENSG00000114354	ENSPTRG00000015165
ENSG00000198911	ENSPTRG00000014439
ENSG00000165832	ENSPTRG00000002964
ENSG00000085276	ENSPTRG00000015601
ENSG00000168899	ENSPTRG00000012137
ENSG00000159261	ENSPTRG00000013892
ENSG00000225828	ENSPTRG00000049104
ENSG00000150540	ENSPTRG00000012503
ENSG00000162526	ENSPTRG00000000483
ENSG00000167522	ENSPTRG00000008476
ENSG00000130303	ENSPTRG00000010672
ENSG00000136861	ENSPTRG00000021302
ENSG00000167749	ENSPTRG00000011360
ENSG00000162676	ENSPTRG00000043053
ENSG00000136457	ENSPTRG00000009400
ENSG00000206384	ENSPTRG00000030122
ENSG00000167107	ENSPTRG00000009399
ENSG00000164659	ENSPTRG00000022827
ENSG00000091704	ENSPTRG00000019696
ENSG00000204227	ENSPTRG00000018037
ENSG00000154642	ENSPTRG00000013798
ENSG00000065911	ENSPTRG00000012081
ENSG00000178952	ENSPTRG00000007939
ENSG00000169223	ENSPTRG00000017580
ENSG00000159263	ENSPTRG00000013894
ENSG00000151276	ENSPTRG00000015083
ENSG00000115648	ENSPTRG00000013075
ENSG00000139329	ENSPTRG00000005289
ENSG00000154832	ENSPTRG00000010022
ENSG00000196455	ENSPTRG00000015388
ENSG00000250317	ENSPTRG00000015967
ENSG00000165192	ENSPTRG00000021683
ENSG00000167969	ENSPTRG00000007644
ENSG00000139926	ENSPTRG00000006340
ENSG00000155816	ENSPTRG00000045511
ENSG00000102984	ENSPTRG00000008328
ENSG00000172936	ENSPTRG00000014754
ENSG00000091490	ENSPTRG00000015966
ENSG00000173157	ENSPTRG00000004841
ENSG00000147872	ENSPTRG00000020801
ENSG00000204843	ENSPTRG00000030450
ENSG00000089163	ENSPTRG00000005529
ENSG00000183570	ENSPTRG00000014010
ENSG00000180875	ENSPTRG00000049478
ENSG00000170890	ENSPTRG00000005530
ENSG00000083312	ENSPTRG00000016972
ENSG00000175354	ENSPTRG00000009884
ENSG00000156509	ENSPTRG00000020469
ENSG00000087076	ENSPTRG00000011259
ENSG00000135097	ENSPTRG00000005531
ENSG00000164291	ENSPTRG00000017084
ENSG00000104299	ENSPTRG00000020125
ENSG00000147669	ENSPTRG00000020470
ENSG00000111596	ENSPTRG00000005216
ENSG00000067208	ENSPTRG00000000962
ENSG00000180879	ENSPTRG00000022412
ENSG00000155729	ENSPTRG00000012787
ENSG00000115414	ENSPTRG00000012892
ENSG00000110076	ENSPTRG00000003843
ENSG00000197498	ENSPTRG00000018503
ENSG00000081479	ENSPTRG00000012613
ENSG00000182901	ENSPTRG00000002161
ENSG00000134569	ENSPTRG00000003554
ENSG00000163535	ENSPTRG00000022953
ENSG00000065809	ENSPTRG00000002309
ENSG00000182149	ENSPTRG00000051566
ENSG00000138650	ENSPTRG00000016444
ENSG00000198914	ENSPTRG00000030398
ENSG00000116962	ENSPTRG00000002135
ENSG00000067829	ENSPTRG00000024398
ENSG00000178188	ENSPTRG00000007940
ENSG00000119574	ENSPTRG00000011597
ENSG00000141971	ENSPTRG00000010673
ENSG00000135972	ENSPTRG00000012310
ENSG00000139132	ENSPTRG00000004816
ENSG00000184378	ENSPTRG00000015604
ENSG00000118997	ENSPTRG00000012761
ENSG00000178015	ENSPTRG00000028773
ENSG00000183760	ENSPTRG00000010951
ENSG00000090975	ENSPTRG00000005592
ENSG00000100211	ENSPTRG00000014373
ENSG00000085274	ENSPTRG00000015605
ENSG00000175449	ENSPTRG00000017085
ENSG00000159579	ENSPTRG00000008149
ENSG00000183715	ENSPTRG00000004489
ENSG00000145757	ENSPTRG00000017086
ENSG00000007392	ENSPTRG00000007533
ENSG00000162551	ENSPTRG00000000302
ENSG00000062038	ENSPTRG00000008269
ENSG00000141556	ENSPTRG00000009811
ENSG00000171757	ENSPTRG00000015606
ENSG00000034677	ENSPTRG00000020472
ENSG00000187735	ENSPTRG00000020251
ENSG00000011465	ENSPTRG00000005290
ENSG00000129673	ENSPTRG00000009682
ENSG00000086619	ENSPTRG00000002137
ENSG00000104450	ENSPTRG00000020471
ENSG00000158869	ENSPTRG00000001579
ENSG00000169220	ENSPTRG00000017581
ENSG00000138074	ENSPTRG00000011754
ENSG00000139438	ENSPTRG00000005429
ENSG00000188306	ENSPTRG00000015607
ENSG00000151572	ENSPTRG00000005347
ENSG00000111328	ENSPTRG00000005596
ENSG00000185960	ENSPTRG00000052053
ENSG00000077585	ENSPTRG00000002136
ENSG00000114248	ENSPTRG00000015608
ENSG00000136504	ENSPTRG00000009383
ENSG00000144228	ENSPTRG00000012504
ENSG00000151657	ENSPTRG00000002276
ENSG00000204913	ENSPTRG00000030925
ENSG00000174502	ENSPTRG00000001908
ENSG00000167914	ENSPTRG00000009108
ENSG00000205755	ENSPTRG00000048367
ENSG00000277481	ENSPTRG00000051796
ENSG00000051825	ENSPTRG00000005594
ENSG00000121578	ENSPTRG00000015251
ENSG00000187033	ENSPTRG00000015610
ENSG00000154511	ENSPTRG00000000964
ENSG00000224470	ENSPTRG00000039075
ENSG00000122406	ENSPTRG00000000963
ENSG00000184574	ENSPTRG00000004581
ENSG00000111644	ENSPTRG00000004582
ENSG00000166268	ENSPTRG00000005215
ENSG00000011485	ENSPTRG00000011181
ENSG00000130962	ENSPTRG00000045419
ENSG00000158874	ENSPTRG00000001580
ENSG00000256870	ENSPTRG00000005348
ENSG00000133639	ENSPTRG00000050131
ENSG00000138085	ENSPTRG00000011755
ENSG00000008952	ENSPTRG00000015611
ENSG00000167754	ENSPTRG00000011362
ENSG00000120498	ENSPTRG00000022000
ENSG00000143971	ENSPTRG00000011996
ENSG00000130921	ENSPTRG00000005595
ENSG00000127328	ENSPTRG00000005212
ENSG00000129667	ENSPTRG00000009684
ENSG00000047597	ENSPTRG00000050517
ENSG00000129455	ENSPTRG00000011366
ENSG00000154839	ENSPTRG00000010023
ENSG00000075711	ENSPTRG00000015793
ENSG00000105559	ENSPTRG00000011260
ENSG00000158186	ENSPTRG00000015445
ENSG00000065613	ENSPTRG00000002920
ENSG00000071677	ENSPTRG00000045686
ENSG00000173890	ENSPTRG00000015613
ENSG00000144227	ENSPTRG00000012505
ENSG00000187516	ENSPTRG00000021794
ENSG00000135966	ENSPTRG00000012313
ENSG00000121104	ENSPTRG00000009382
ENSG00000178685	ENSPTRG00000043606
ENSG00000276600	ENSPTRG00000048926
ENSG00000167755	ENSPTRG00000048297
ENSG00000138738	ENSPTRG00000016403
ENSG00000164251	ENSPTRG00000017005
ENSG00000135974	ENSPTRG00000012314
ENSG00000116580	ENSPTRG00000001433
ENSG00000158220	ENSPTRG00000015446
ENSG00000120800	ENSPTRG00000005349
ENSG00000165169	ENSPTRG00000048352
ENSG00000173889	ENSPTRG00000015614
ENSG00000169035	ENSPTRG00000048742
ENSG00000121073	ENSPTRG00000009381
ENSG00000187122	ENSPTRG00000033956
ENSG00000039068	ENSPTRG00000008270
ENSG00000129317	ENSPTRG00000004843
ENSG00000185920	ENSPTRG00000046951
ENSG00000179580	ENSPTRG00000007620
ENSG00000166589	ENSPTRG00000008205
ENSG00000172379	ENSPTRG00000007363
ENSG00000232258	ENSPTRG00000042208
ENSG00000132681	ENSPTRG00000001542
ENSG00000139697	ENSPTRG00000005597
ENSG00000175711	ENSPTRG00000009813
ENSG00000134490	ENSPTRG00000009917
ENSG00000178719	ENSPTRG00000020674
ENSG00000198056	ENSPTRG00000022987
ENSG00000234465	ENSPTRG00000052742
ENSG00000171509	ENSPTRG00000016551
ENSG00000183955	ENSPTRG00000049286
ENSG00000165195	ENSPTRG00000021684
ENSG00000186583	ENSPTRG00000020675
ENSG00000232112	ENSPTRG00000041769
ENSG00000243978	ENSPTRG00000022184
ENSG00000166118	ENSPTRG00000004490
ENSG00000162804	ENSPTRG00000013115
ENSG00000164051	ENSPTRG00000014885
ENSG00000101935	ENSPTRG00000022182
ENSG00000141579	ENSPTRG00000009812
ENSG00000101955	ENSPTRG00000021796
ENSG00000073050	ENSPTRG00000011084
ENSG00000163558	ENSPTRG00000015615
ENSG00000109065	ENSPTRG00000009617
ENSG00000196531	ENSPTRG00000048686
ENSG00000114107	ENSPTRG00000015448
ENSG00000111786	ENSPTRG00000005535
ENSG00000060982	ENSPTRG00000004772
ENSG00000155897	ENSPTRG00000020589
ENSG00000090905	ENSPTRG00000007898
ENSG00000257218	ENSPTRG00000049887
ENSG00000102934	ENSPTRG00000008151
ENSG00000184730	ENSPTRG00000050722
ENSG00000167378	ENSPTRG00000011087
ENSG00000136603	ENSPTRG00000015616
ENSG00000111775	ENSPTRG00000005532
ENSG00000102931	ENSPTRG00000008150
ENSG00000166833	ENSPTRG00000003436
ENSG00000141316	ENSPTRG00000049269
ENSG00000170855	ENSPTRG00000005533
ENSG00000136379	ENSPTRG00000007364
ENSG00000185404	ENSPTRG00000013011
ENSG00000031081	ENSPTRG00000015252
ENSG00000151376	ENSPTRG00000004146
ENSG00000108344	ENSPTRG00000009109
ENSG00000122085	ENSPTRG00000013116
ENSG00000124839	ENSPTRG00000013076
ENSG00000133612	ENSPTRG00000019876
ENSG00000166473	ENSPTRG00000043634
ENSG00000013297	ENSPTRG00000015617
ENSG00000178568	ENSPTRG00000012883
ENSG00000223501	ENSPTRG00000018038
ENSG00000143851	ENSPTRG00000001848
ENSG00000022267	ENSPTRG00000043363
ENSG00000165168	ENSPTRG00000021792
ENSG00000120805	ENSPTRG00000005350
ENSG00000013293	ENSPTRG00000015619
ENSG00000150977	ENSPTRG00000005599
ENSG00000103888	ENSPTRG00000007365
ENSG00000176142	ENSPTRG00000015253
ENSG00000134508	ENSPTRG00000009916
ENSG00000159267	ENSPTRG00000013895
ENSG00000169750	ENSPTRG00000014331
ENSG00000147439	ENSPTRG00000020066
ENSG00000165349	ENSPTRG00000022002
ENSG00000184209	ENSPTRG00000023573
ENSG00000156150	ENSPTRG00000001070
ENSG00000087074	ENSPTRG00000011261
ENSG00000143093	ENSPTRG00000001069
ENSG00000188026	ENSPTRG00000022983
ENSG00000080854	ENSPTRG00000004491
ENSG00000161544	ENSPTRG00000033861
ENSG00000196188	ENSPTRG00000022821
ENSG00000214140	ENSPTRG00000047450
ENSG00000154645	ENSPTRG00000013799
ENSG00000103047	ENSPTRG00000008272
ENSG00000088986	ENSPTRG00000005536
ENSG00000086598	ENSPTRG00000052790
ENSG00000169515	ENSPTRG00000011182
ENSG00000171643	ENSPTRG00000017006
ENSG00000163093	ENSPTRG00000012614
ENSG00000130726	ENSPTRG00000011598
ENSG00000023445	ENSPTRG00000004212
ENSG00000158234	ENSPTRG00000015449
ENSG00000166211	ENSPTRG00000005351
ENSG00000263961	ENSPTRG00000023332
ENSG00000158941	ENSPTRG00000020065
ENSG00000166592	ENSPTRG00000008207
ENSG00000168461	ENSPTRG00000046336
ENSG00000135697	ENSPTRG00000008389
ENSG00000239474	ENSPTRG00000045171
ENSG00000196470	ENSPTRG00000008094
ENSG00000104804	ENSPTRG00000011262
ENSG00000130669	ENSPTRG00000006915
ENSG00000117899	ENSPTRG00000007366
ENSG00000067840	ENSPTRG00000022413
ENSG00000116748	ENSPTRG00000001139
ENSG00000147164	ENSPTRG00000022003
ENSG00000102910	ENSPTRG00000008093
ENSG00000139636	ENSPTRG00000004899
ENSG00000163482	ENSPTRG00000012926
ENSG00000144908	ENSPTRG00000043503
ENSG00000198049	ENSPTRG00000023708
ENSG00000131183	ENSPTRG00000017582
ENSG00000166595	ENSPTRG00000008208
ENSG00000173376	ENSPTRG00000016404
ENSG00000143318	ENSPTRG00000001544
ENSG00000092377	ENSPTRG00000022475
ENSG00000182013	ENSPTRG00000011183
ENSG00000145708	ENSPTRG00000017007
ENSG00000110871	ENSPTRG00000005539
ENSG00000141639	ENSPTRG00000010024
ENSG00000126012	ENSPTRG00000021925
ENSG00000196570	ENSPTRG00000045005
ENSG00000121270	ENSPTRG00000008092
ENSG00000131386	ENSPTRG00000014670
ENSG00000166415	ENSPTRG00000007092
ENSG00000022840	ENSPTRG00000005541
ENSG00000188716	ENSPTRG00000002653
ENSG00000181409	ENSPTRG00000009752
ENSG00000205884	ENSPTRG00000031029
ENSG00000054938	ENSPTRG00000004069
ENSG00000205883	ENSPTRG00000031030
ENSG00000070731	ENSPTRG00000009685
ENSG00000205882	ENSPTRG00000031031
ENSG00000099721	ENSPTRG00000022474
ENSG00000188505	ENSPTRG00000010953
ENSG00000163481	ENSPTRG00000012925
ENSG00000147041	ENSPTRG00000021795
ENSG00000179751	ENSPTRG00000010954
ENSG00000111358	ENSPTRG00000005604
ENSG00000154646	ENSPTRG00000013800
ENSG00000177548	ENSPTRG00000007942
ENSG00000134955	ENSPTRG00000004437
ENSG00000067365	ENSPTRG00000007745
ENSG00000143412	ENSPTRG00000001269
ENSG00000102962	ENSPTRG00000047829
ENSG00000175866	ENSPTRG00000009750
ENSG00000230510	ENSPTRG00000039811
ENSG00000006210	ENSPTRG00000008153
ENSG00000132793	ENSPTRG00000013502
ENSG00000172828	ENSPTRG00000043230
ENSG00000132294	ENSPTRG00000020591
ENSG00000143409	ENSPTRG00000001270
ENSG00000160014	ENSPTRG00000011185
ENSG00000154914	ENSPTRG00000008757
ENSG00000180574	ENSPTRG00000004677
ENSG00000196296	ENSPTRG00000007941
ENSG00000183798	ENSPTRG00000013503
ENSG00000205057	ENSPTRG00000029605
ENSG00000198863	ENSPTRG00000023434
ENSG00000253276	ENSPTRG00000051714
ENSG00000172831	ENSPTRG00000051277
ENSG00000165197	ENSPTRG00000021685
ENSG00000234965	ENSPTRG00000039404
ENSG00000159958	ENSPTRG00000014441
ENSG00000183145	ENSPTRG00000013896
ENSG00000108342	ENSPTRG00000024346
ENSG00000163884	ENSPTRG00000015329
ENSG00000144749	ENSPTRG00000015085
ENSG00000166596	ENSPTRG00000008755
ENSG00000261609	ENSPTRG00000008391
ENSG00000157150	ENSPTRG00000014630
ENSG00000204851	ENSPTRG00000028962
ENSG00000164292	ENSPTRG00000017087
ENSG00000115641	ENSPTRG00000012315
ENSG00000157152	ENSPTRG00000052430
ENSG00000187510	ENSPTRG00000005292
ENSG00000171503	ENSPTRG00000016553
ENSG00000100216	ENSPTRG00000014374
ENSG00000111364	ENSPTRG00000005601
ENSG00000169738	ENSPTRG00000009786
ENSG00000162734	ENSPTRG00000001545
ENSG00000131188	ENSPTRG00000017585
ENSG00000102189	ENSPTRG00000005295
ENSG00000186150	ENSPTRG00000030434
ENSG00000153815	ENSPTRG00000008393
ENSG00000170921	ENSPTRG00000009511
ENSG00000170322	ENSPTRG00000004476
ENSG00000198055	ENSPTRG00000045987
ENSG00000168454	ENSPTRG00000023734
ENSG00000100221	ENSPTRG00000014375
ENSG00000189184	ENSPTRG00000024162
ENSG00000205208	ENSPTRG00000031072
